stname,cluster_id,utc_timestamp,utc_timestamp_s
MXI ,0,1217522773.7,1217522788.8
MXI ,0,1217522953.2,1217522961.6
MXI ,0,1217523455.4,1217523458.6
MXI ,0,1217523531.3,1217523536.0
MXI ,0,1217525002.5,1217525007.0
MXI ,0,1217525667.6,1217525675.9
MXI ,0,1217526009.5,1217526015.9
MXI ,0,1217527917.6,1217527923.8
MXI ,0,1217528359.1,1217528367.3
MXI ,0,1217529047.7,1217529055.2
MXI ,0,1217529771.3,1217529777.8
MXI ,0,1217529845.7,1217529852.7
MXI ,0,1217530176.5,1217530183.0
MXI ,0,1217530636.2,1217530643.1
MXI ,0,1217530994.8,1217531002.7
MXI ,0,1217531778.9,1217531787.7
MXI ,0,1217532354.3,1217532362.6
MXI ,0,1217532644.6,1217532649.8
MXI ,0,1217537377.3,1217537381.5
MXI ,0,1217537979.4,1217537984.5
MXI ,0,1217538676.8,1217538684.0
MXI ,0,1217539984.8,1217539993.4
MXI ,0,1217540423.9,1217540433.6
MXI ,0,1217548280.7,1217548288.7
MXI ,0,1217554574.2,1217554580.0
MXI ,0,1217554951.3,1217554957.8
MXI ,0,1217558513.4,1217558520.2
MXI ,0,1217559758.3,1217559765.2
MXI ,0,1217562964.2,1217562967.3
MXI ,0,1217563524.3,1217563527.7
MXI ,0,1217564448.9,1217564452.4
MXI ,0,1217566393.7,1217566396.9
MXI ,0,1217567976.3,1217567983.2
MXI ,0,1217570285.7,1217570292.7
MXI ,0,1217570896.7,1217570903.0
MXI ,0,1217572613.1,1217572617.5
MXI ,0,1217574861.0,1217574866.2
MXI ,0,1217575132.0,1217575138.6
MXI ,0,1217578689.7,1217578696.4
MXI ,0,1217579577.1,1217579586.9
MXI ,0,1217579973.1,1217579982.4
MXI ,0,1217581126.7,1217581136.5
MXI ,0,1217581224.6,1217581234.6
MXI ,0,1217581437.6,1217581447.4
MXI ,0,1217581843.8,1217581854.1
MXI ,0,1217582132.3,1217582139.8
MXI ,0,1217582308.7,1217582318.7
MXI ,0,1217582553.4,1217582563.9
MXI ,0,1217583632.5,1217583642.0
MXI ,0,1217584462.8,1217584473.0
MXI ,0,1217584665.2,1217584674.6
MXI ,0,1217585405.9,1217585416.1
MXI ,0,1217585894.9,1217585904.3
MXI ,0,1217586420.4,1217586430.6
MXI ,0,1217586919.2,1217586928.6
MXI ,0,1217589102.6,1217589112.4
MXI ,0,1217589627.4,1217589637.6
MXI ,0,1217589876.8,1217589886.5
MXI ,0,1217591792.4,1217591803.1
MXI ,0,1217592057.4,1217592067.1
MXI ,0,1217592460.6,1217592467.4
MXI ,0,1217593665.8,1217593676.3
MXI ,0,1217596109.4,1217596119.7
MXI ,0,1217596480.8,1217596491.0
MXI ,0,1217597230.0,1217597240.1
MXI ,0,1217598492.0,1217598496.0
MXI ,0,1217598696.7,1217598707.6
MXI ,0,1217598808.7,1217598815.5
MXI ,0,1217599484.7,1217599494.5
MXI ,0,1217600581.5,1217600585.2
MXI ,0,1217600845.8,1217600855.8
MXI ,0,1217601167.1,1217601171.4
MXI ,0,1217602936.7,1217602946.4
MXI ,0,1217603501.5,1217603511.5
MXI ,0,1217604379.8,1217604389.3
MXI ,0,1217604942.8,1217604953.3
MXI ,0,1217606181.8,1217606191.8
MXI ,0,1217606375.4,1217606382.7
MXI ,0,1217606467.7,1217606474.0
MXI ,0,1217607817.7,1217607821.4
MXI ,0,1217608350.4,1217608354.2
MXI ,0,1217610579.4,1217610589.4
MXI ,0,1217618906.6,1217618920.8
MXI ,0,1217620421.0,1217620435.7
MXI ,0,1217621137.4,1217621143.6
MXI ,0,1217621384.0,1217621395.7
MXI ,0,1217622532.9,1217622535.6
MXI ,0,1217623428.7,1217623441.2
MXI ,0,1217623964.3,1217623974.5
MXI ,0,1217624588.4,1217624592.6
MXI ,0,1217624624.8,1217624634.6
MXI ,0,1217625188.8,1217625198.5
MXI ,0,1217625601.8,1217625604.4
MXI ,0,1217625841.8,1217625851.3
MXI ,0,1217627113.2,1217627120.3
MXI ,0,1217627418.2,1217627427.8
MXI ,0,1217629371.2,1217629378.2
MXI ,0,1217629477.5,1217629484.2
MXI ,0,1217629833.7,1217629836.9
MXI ,0,1217630617.7,1217630621.8
MXI ,0,1217634057.0,1217634060.4
MXI ,0,1217634622.1,1217634632.0
MXI ,0,1217635981.3,1217635988.2
MXI ,0,1217636050.4,1217636056.5
MXI ,0,1217637923.0,1217637926.8
MXI ,0,1217638306.1,1217638323.2
MXI ,0,1217638841.1,1217638848.9
MXI ,0,1217640541.6,1217640547.8
MXI ,0,1217641724.3,1217641729.0
MXI ,0,1217647642.4,1217647646.4
MXI ,0,1217648296.3,1217648305.6
MXI ,0,1217648557.7,1217648564.0
MXI ,0,1217652424.2,1217652435.6
MXI ,0,1217654574.4,1217654584.6
MXI ,0,1217657019.2,1217657023.5
MXI ,0,1217658079.8,1217658086.3
MXI ,0,1217660533.0,1217660542.3
MXI ,0,1217660903.7,1217660914.3
MXI ,0,1217662347.4,1217662357.6
MXI ,0,1217665673.2,1217665682.4
MXI ,0,1217666046.2,1217666053.1
MXI ,0,1217666431.0,1217666438.8
MXI ,0,1217671495.2,1217671498.5
MXI ,0,1217673026.4499998,1217673029.7
MXI ,0,1217674697.8,1217674704.1
MXI ,0,1217678225.3,1217678235.3
MXI ,0,1217678774.1,1217678779.1
MXI ,0,1217684712.4,1217684722.5
MXI ,0,1217685480.7,1217685485.9
MXI ,0,1217686949.2,1217686952.7
MXI ,0,1217687085.4,1217687089.0
MXI ,0,1217688526.7,1217688531.3
MXI ,0,1217689582.3,1217689598.1
MXI ,0,1217690036.7,1217690043.9
MXI ,0,1217691610.1,1217691620.3
